YEAR , SPEI12h, SPEI12h_2ra , per_ave_ppt, JJAS_ave
      1977 , -22.0 , , 56 , 13.6 
      1978 , 11.6 , -5.2 , 124 , 12.5 
      1979 , -14.1 , -1.2 , 75 , 13.7 
      1980 , 9.1 , -2.5 , 117 , 12.3 
      1981 , -3.5 , 2.8 , 93 , 12.4 
      1982 , 35.8 , 16.2 , 164 , 12.0 
      1983 , 22.6 , 29.2 , 139 , 11.8 
      1984 , 12.5 , 17.5 , 122 , 11.8 
      1985 , -2.9 , 4.8 , 93 , 12.3 
      1986 , 3.8 , 0.4 , 108 , 12.4 
      1987 , -9.1 , -2.7 , 86 , 13.5 
      1988 , -12.4 , -10.8 , 78 , 13.7 
      1989 , 8.9 , -1.8 , 119 , 11.9 
      1990 , -13.1 , -2.1 , 75 , 12.9 
      1991 , -12.7 , -12.9 , 72 , 13.1 
      1992 , -17.3 , -15.0 , 75 , 13.2 
      1993 , 18.8 , 0.8 , 136 , 11.1 
      1994 , -23.6 , -2.4 , 57 , 12.8 
      1995 , 15.2 , -4.2 , 125 , 12.0 
      1996 , 19.8 , 17.5 , 137 , 12.6 
      1997 , 19.4 , 19.6 , 137 , 12.3 
      1998 , 17.0 , 18.2 , 130 , 13.2 
      1999 , 12.7 , 14.8 , 118 , 12.5 
      2000 , -1.5 , 5.6 , 99 , 12.8 
      2001 , -20.7 , -11.1 , 60 , 13.4 
      2002 , -9.7 , -15.2 , 82 , 13.0 
      2003 , -7.5 , -8.6 , 86 , 14.4 
      2004 , -10.9 , -9.2 , 81 , 12.9 
      2005 , -2.8 , -6.8 , 93 , 12.4 
      2006 , 21.4 , 9.3 , 142 , 13.6 
      2007 , -8.1 , 6.7 , 88 , 13.2 
      2008 , -2.1 , -5.1 , 94 , 13.0 
      2009 , -5.9 , -4.0 , 90 , 13.2 
      2010 , -7.8 , -6.8 , 81 , 12.7 
      2011 , 10.2 , 1.2 , 112 , 12.8 
      2012 , -3.1 , 3.5 , 92 , 13.4 
      2013 , -5.9 , -4.5 , 93 , 13.1 
      2014 , -17.5 , -11.7 , 71 , 14.2 
      2015 , -5.8 , -11.7 , 99 , 14.6 
      2016 , -1.4 , -3.6 , 102 , 14.4 
